ArtistName,KeySignatureConfidence,TimeSignatureConfidence,Year,Popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
10694,0.838,0.256,1989.0,17.0,0.537,0.81,8.0,-6.213,0.0,0.129,0.000709,0.892,0.0579,0.667,134.096,136933.0,4.0
4528,0.955,0.867,0.0,1.0,0.342,0.377,11.0,-13.728,1.0,0.0401,0.943,0.106,0.122,0.506,76.672,256827.0,3.0
3297,0.056,0.748,0.0,0.0,0.663,0.614,2.0,-7.712,1.0,0.249,0.0771,0.00689,0.296,0.248,82.06,87800.0,4.0
4435,0.74,1.0,0.0,26.0,0.163,0.262,1.0,-9.781,1.0,0.0306,0.792,0.167,0.116,0.278,170.527,205347.0,4.0
4319,0.673,0.582,0.0,0.0,0.262,0.753,9.0,-11.859,1.0,0.0987,0.33,8.86e-06,0.718,0.087,138.553,101947.0,4.0
6397,0.011,1.0,2008.0,1.0,0.506,0.832,9.0,-5.755,1.0,0.0779,0.0131,0.0,0.32,0.337,114.951,143987.0,4.0
13404,0.039,0.849,0.0,0.0,0.736,0.493,6.0,-6.27,1.0,0.168,0.0584,0.0,0.162,0.677,164.045,221533.0,4.0
10874,0.719,0.953,0.0,0.0,0.799,0.604,1.0,-9.03,1.0,0.063,1.13e-05,0.921,0.0772,0.438,126.012,402280.0,4.0
4070,0.16,0.931,2004.0,15.0,0.652,0.738,6.0,-7.016,1.0,0.112,0.00125,0.00206,0.1,0.425,103.805,283973.0,4.0
11322,0.425,0.541,0.0,10.0,0.728,0.638,7.0,-6.719,1.0,0.0526,0.253,0.00507,0.303,0.608,81.038,258280.0,4.0
5562,0.65,0.573,2006.0,24.0,0.317,0.966,1.0,-4.4,1.0,0.082,0.000175,0.00515,0.337,0.213,126.49,210387.0,4.0
7584,0.523,0.552,2009.0,17.0,0.714,0.619,7.0,-7.636,1.0,0.0405,0.7,0.00831,0.135,0.966,107.658,308560.0,4.0
3697,0.228,0.0,2001.0,24.0,0.804,0.606,5.0,-7.126,0.0,0.0326,0.00565,0.00618,0.0398,0.954,138.317,164813.0,4.0
13557,0.898,0.445,2002.0,0.0,0.349,0.9,7.0,-5.706,1.0,0.0456,1.2e-05,0.0986,0.12,0.535,186.06,193933.0,4.0
13234,0.0,0.094,0.0,5.0,0.768,0.631,7.0,-6.409,1.0,0.0388,0.0572,0.000191,0.124,0.357,109.992,202627.0,4.0
9463,0.606,1.0,1989.0,38.0,0.367,0.0845,0.0,-17.017,1.0,0.0384,0.856,8.86e-05,0.103,0.172,179.044,158507.0,3.0
