SongNumber,Title,ArtistName,SearchStr,market
77629,Fire Dance,STRATOVARIUS,fire dance stratovarius,it
575703,Don't Worry,Fred Thomas,don't worry fred thomas,us
857332,Guess Who's Coming To Dinner,Chops,guess who's coming to dinner chops,us
44180,Deep River (part two),The Five Blind Boys Of Alabama,deep river (part two) the five blind boys of alabama,us
239962,Intro/Love Line Interlude1,Deviants of Reality,intro/love line interlude1 deviants of reality,us
793702,Danny Boy,Foster & Allen,danny boy foster & allen,us
394778,Postcard,Finn's Motel,postcard finn's motel,us
419308,I Come Down,Joseph Arthur,i come down joseph arthur,us
666792,Move Up,Tony Roots,move up tony roots,us
535972,"Automatic (Wozniak Vocal Mix)""",Scott Wozniak_ Angelica Linares,"automatic (wozniak vocal mix)"" scott wozniak_ angelica linares",us
930262,Cycle Of The Streets,Thought Riot,cycle of the streets thought riot,us
521049,Septum Lucidum,Eths,septum lucidum eths,us
333423,Lanmou o piyaj,Soft,lanmou o piyaj soft,us
960834,Corazon of Mine (Album Version),Ill Nino,corazon of mine (album version) ill nino,it
427226,Hoy Se Cumplen Seis Semanas,Los Van Van,hoy se cumplen seis semanas los van van,us
817712,Perhaps Perhaps Perhaps,Eastern Standard Time,perhaps perhaps perhaps eastern standard time,us
116514,Due Time,Twenty 4 Seven,due time twenty 4 seven,us
808693,The Ballad Of Sexor,Tiga,the ballad of sexor tiga,us
659156,I Almost Lost My Mind,Pat Boone,i almost lost my mind pat boone,us
755159,A lover is blue,Frank Sinatra,a lover is blue frank sinatra,us
383246,Let Me Remind You Again,Billy Gilman,let me remind you again billy gilman,us
18868,Paper Doll,Mills Brothers,paper doll mills brothers,us
761656,Fuller Blues (Instrumental),Merle Travis,fuller blues (instrumental) merle travis,us
771127,Talkshow (Shot),Showtime (instrumentals),talkshow (shot) showtime (instrumentals),us
501349,I Can Let Go Now,Lee Ryan,i can let go now lee ryan,us
333404,Return,Texas,return texas,us
136932,Kiss Your Mama!,Vanessa Amorosi,kiss your mama! vanessa amorosi,us
161213,Involution,Sway,involution sway,us
715693,Unify,Merauder,unify merauder,us
254916,Keep Your Voices,Sleep For Sleepers,keep your voices sleep for sleepers,us
996070,Intro To ...,DAVE MATTHEWS BAND,intro to ... dave matthews band,us
492971,Touch The Sky,Kanye West / Lupe Fiasco,touch the sky kanye west / lupe fiasco,us
697611,Ojitos De Golondrina,Joan Sebastian,ojitos de golondrina joan sebastian,es
330374,Edith And The Kingpin,Charlie Dée,edith and the kingpin charlie dée,us
16272,Saka,Zentex,saka zentex,us
511016,I Morgon Blir Idag Igår,Kalle Baah,i morgon blir idag igår kalle baah,us
271766,King Of Glory,Third Day,king of glory third day,us
892443,From Scratch,Gideon,from scratch gideon,us
149724,Too Much To Learn,Jesus Jones,too much to learn jesus jones,us
352483,Rocket Reducer No. 62 (Rama Lama Fa Fa Fa) (LP Version),MC5,rocket reducer no. 62 (rama lama fa fa fa) (lp version) mc5,us
887094,Ti Perimeneis&.(Bravo),Nikos Kourkoulis,ti perimeneis&.(bravo) nikos kourkoulis,us
335354,No One Can Stop Us,My Little Pony,no one can stop us my little pony,us
809122,Non Ci Pensare,Alex Baroni,non ci pensare alex baroni,it
229497,Todavia Cantamos (En Vivo),León Gieco/Victor Heredia,todavia cantamos (en vivo) león gieco/victor heredia,es
5677,Don't Stare,Pilot Speed,don't stare pilot speed,nl
141328,Dead Flowers,Urinals,dead flowers urinals,us
40017,Acolyte,Delphic,acolyte delphic,us
358102,One (Album Version),Faith Hill,one (album version) faith hill,us
334758,Hail! Son of Heaven,Stephin Merritt,hail! son of heaven stephin merritt,us
754005,Revolution,Sergei Shkuroff,revolution sergei shkuroff,us
315984,Prepared To Die,Ice T,prepared to die ice t,us
826277,Dem Fi Gweh (Album),Baby Cham,dem fi gweh (album) baby cham,us
13371,Butterfly,Azymuth,butterfly azymuth,us
679104,Hokus Pokus,Insane Clown Posse,hokus pokus insane clown posse,us
220634,House Of Stone (Album Version),Mudcrutch,house of stone (album version) mudcrutch,us
345406,Reaching Out (LP Version),Grover Washington Jr.,reaching out (lp version) grover washington jr.,us
727293,Rebecca,Les Wriggles,rebecca les wriggles,us
486877,Death Is The Beginning,Mortal Treason,death is the beginning mortal treason,us
272068,Too Much Money,999,too much money 999,us
595356,Så Det På Tv,Postgirobygget,så det på tv postgirobygget,us
180261,You'd Be So Nice To Come Home To,Joanie Sommers,you'd be so nice to come home to joanie sommers,us
838068,Darlin' (BT's Club Mix),Bob Sinclar,darlin' (bt's club mix) bob sinclar,us
160474,Baby King,Kathy Mattea,baby king kathy mattea,us
315237,Holdin' On,Justin Faust,holdin' on justin faust,us
627228,Pigeon Song (Album Version),America,pigeon song (album version) america,us
747574,Raga Mishra Khamaj (dhun-dadra tal),Deepak Ram,raga mishra khamaj (dhun-dadra tal) deepak ram,us
520410,I'd Know That Heartache Anywhere,HOLLY DUNN,i'd know that heartache anywhere holly dunn,us
439273,Nami Danam Chi Manzil Bud Shab Jai Ki Man Budam,Nusrat Fateh Ali Khan,nami danam chi manzil bud shab jai ki man budam nusrat fateh ali khan,us
714337,Unfinished Sympathy,Massive Attack,unfinished sympathy massive attack,us
94455,Spit It Clearly,Dilated Peoples,spit it clearly dilated peoples,us
620630,Deum De Deo,Simon Fisher Turner,deum de deo simon fisher turner,es
143785,Pata pata,Tito Puente,pata pata tito puente,it
371437,Wapi Yo,Lokua Kanza,wapi yo lokua kanza,us
10469,Never Be The Same Again,Melanie C,never be the same again melanie c,us
658118,She'll Be Crying Over You,Bay City Rollers,she'll be crying over you bay city rollers,us
444880,Tvoga Srca Vrata,Crvena Jabuka,tvoga srca vrata crvena jabuka,us
49575,Alright OK You Win,Long John Baldry,alright ok you win long john baldry,us
518297,Texas Chainsaw Boogie,Joe Stump,texas chainsaw boogie joe stump,us
795287,Ambuletz,The Mars Volta,ambuletz the mars volta,us
373907,Ga Niet Weg Van Mij 1(Se Kriazome),Benny Neyman,ga niet weg van mij 1(se kriazome) benny neyman,nl
371595,World Of Confusion,Michael Prophet,world of confusion michael prophet,us
571692,Lalo Caught Me Dancin,Llorca,lalo caught me dancin llorca,it
919460,Chapter 3: Prologue to Four Seasons / Spring / Summer / Fall / Winter,Perry Silverbird,chapter 3: prologue to four seasons / spring / summer / fall / winter perry silverbird,us
323441,Save The Whale,Solar Quest,save the whale solar quest,us
317267,Gangster Of Love,Pretty Boy Floyd,gangster of love pretty boy floyd,us
192003,You Make Loving Fun,Danni Carlos,you make loving fun danni carlos,us
421315,My My,Magic Arm,my my magic arm,us
742348,Nocturnal Supremacy,Cradle Of Filth,nocturnal supremacy cradle of filth,us
855503,Love Will Keep Us Alive,Paul Carrack,love will keep us alive paul carrack,us
613498,Penthouse Dub,Kenny Dope,penthouse dub kenny dope,nl
639926,Inselfeger lieben Sonnenschein,Die Inselfeger,inselfeger lieben sonnenschein die inselfeger,us
396977,Pale Shelter,Paul Young,pale shelter paul young,us
325033,Fever Pitch (Album Version),Wilderness,fever pitch (album version) wilderness,us
946175,Waking up in Vegas (Made Famous by Katy Perry),Cardio Workout Crew,waking up in vegas (made famous by katy perry) cardio workout crew,us
623063,Your Majesty,T.I. and Jim Jones,your majesty t.i. and jim jones,us
638248,The Battle Is The Lord's,PraiseWorkout with Kim Alexis,the battle is the lord's praiseworkout with kim alexis,us
55318,Fuerte No Soy (Live),Pepe Aguilar,fuerte no soy (live) pepe aguilar,es
175245,Champion,Jacki O / Trick Daddy,champion jacki o / trick daddy,us
64466,Con Botas Sucias,Baron Rojo,con botas sucias baron rojo,es
757439,Angaelica,Alquimia,angaelica alquimia,us
327393,Bad Eye Bill,Dr. Hook,bad eye bill dr. hook,us
988528,Never Thought I'd Fall In Love With You,Billy Ray Cyrus,never thought i'd fall in love with you billy ray cyrus,us
269839,Out of Sight,Fred Wesley feat. Djizzle,out of sight fred wesley feat. djizzle,us
144272,Wishing Well,Terence Trent D'Arby,wishing well terence trent d'arby,us
212200,6 Space (Next Level),ILS,6 space (next level) ils,fr
46100,Triumph of the Olympian,Big Boss Man,triumph of the olympian big boss man,us
744140,1990,Dooley-O,1990 dooley-o,us
94240,Cigarette Scars,Emil Bulls,cigarette scars emil bulls,it
867173,Todo Por El Aire (Dueto Con Bruno Lomas),Seguridad Social,todo por el aire (dueto con bruno lomas) seguridad social,es
471283,La Jardinera-Tonada,Violeta Parra,la jardinera-tonada violeta parra,es
959218,Marmor,Rhymin Simon,marmor rhymin simon,us
744590,Lord_ I Feel Just Like Goin' On,Rev. Gary Davis,lord_ i feel just like goin' on rev. gary davis,us
710672,Honorable Steps,Death Before Dishonor,honorable steps death before dishonor,us
604721,Caballo Viejo: instrumental,Estudiantina Invasora,caballo viejo: instrumental estudiantina invasora,es
535920,Blues In Hoss' Flat,The Count Basie Orchestra,blues in hoss' flat the count basie orchestra,us
529282,Different Style 3,Bush Chemists,different style 3 bush chemists,us
112661,Symphony No. 34 in C Major_ K. 338 and K. 409: II. Andante di molto,London Mozart Players_ Harry Blech,symphony no. 34 in c major_ k. 338 and k. 409: ii. andante di molto london mozart players_ harry blech,us
570167,Long Island,Trevor Rabin,long island trevor rabin,us
401391,First and Ellen,Modern Life Is War,first and ellen modern life is war,us
36646,No Exit Wound,Reuben,no exit wound reuben,us
289447,Save Me - pt. 2,Roslyn,save me - pt. 2 roslyn,us
247733,Ai De Tai Chi,Leo Ku,ai de tai chi leo ku,us
104407,War,Julian Jabre,war julian jabre,us
167941,Ramblin' Irishman,The Irish Ceili Band,ramblin' irishman the irish ceili band,us
906925,Love By Few,Lil Keke,love by few lil keke,us
587248,Deep,Excel,deep excel,nl
338539,Dat Dere,Eldar,dat dere eldar,us
70979,Mondrin,B12,mondrin b12,nl
829186,Unaccompanied Cello Suite No. 3 in C Major_ BWV 1009/Courante,Yo-Yo Ma,unaccompanied cello suite no. 3 in c major_ bwv 1009/courante yo-yo ma,es
653092,What Do We Want? (album version),Uncle Kracker,what do we want? (album version) uncle kracker,us
987952,Staggerlee,Tommy Roe,staggerlee tommy roe,us
958310,Moscovitz,The Flying Bulgar Klezmer Band,moscovitz the flying bulgar klezmer band,us
54910,Hands Off,Richie Arndt & The Bluenatics,hands off richie arndt & the bluenatics,us
25742,Para Que Escuchen,Eddie Palmieri,para que escuchen eddie palmieri,es
43956,Sweet Sweet Love Tonight,Demon's Claws,sweet sweet love tonight demon's claws,us
86234,Hell is chrome,Wilco,hell is chrome wilco,us
810683,Jump Right In,The Urge,jump right in the urge,us
130263,The Shifting_ Whispering Sands Part II,Johnny Cash,the shifting_ whispering sands part ii johnny cash,us
876368,Till The Sky Falls Down,Dash Berlin,till the sky falls down dash berlin,us
433387,Fastest Thing On Four Wheels,The Spencer Davis Group,fastest thing on four wheels the spencer davis group,us
198642,Have I Sinned,Donnie Elbert,have i sinned donnie elbert,us
87879,Pressure Drop,Toots & The Maytals,pressure drop toots & the maytals,us
480381,Superdonna,Oliver Onions,superdonna oliver onions,it
436820,Pickin' the Blues,Elmore James,pickin' the blues elmore james,us
945429,Countdown to Infinity,David T. Chastain,countdown to infinity david t. chastain,us
753106,PUNK & BABYs,Nana Kitade,punk & babys nana kitade,us
232684,It Ain't Easy,Long Beach Dub Allstars,it ain't easy long beach dub allstars,us
928554,BLOWING KISSES,SARABETH TUCEK,blowing kisses sarabeth tucek,us
209826,I Know,Tobias Regner,i know tobias regner,us
908286,Sense,The Laughing Colors,sense the laughing colors,us
122927,When Solar Winds Collide,Canvas Solaris,when solar winds collide canvas solaris,us
165490,Mister Mistoffelees - Sound-a-like Cover,West End Orchestra & Singers,mister mistoffelees - sound-a-like cover west end orchestra & singers,us
716836,Cop This!,Metabass N Breath,cop this! metabass n breath,us
649296,Basie (Album Version),Donny Hathaway,basie (album version) donny hathaway,us
486274,Can't We Be Friends,Jeanie Lambe & The Danny Moss Quartet,can't we be friends jeanie lambe & the danny moss quartet,us
540521,The Aviator,K-OS,the aviator k-os,us
488079,Introduction,The Dubliners,introduction the dubliners,us
652643,Mapasa,Cota chaperon,mapasa cota chaperon,es
